CINDA BACKUP   BCK00120240426 157569  65309
    451) Area:1 Z=47  AG-107    bl:143   ln:321  
    452) Area:1 Z=47  AG-108    bl:3     ln:3    
    453) Area:1 Z=47  AG-109    bl:164   ln:308  
    454) Area:1 Z=47  AG-110    bl:4     ln:4    
    455) Area:1 Z=47  AG-110-M1 bl:3     ln:6    
    456) Area:1 Z=47  AG-111    bl:9     ln:17   
    457) Area:1 Z=47  AG-CMP    bl:4     ln:14   
    458) Area:1 Z=48  CD-0      bl:282   ln:678  
    459) Area:1 Z=48  CD-105    bl:1     ln:1    
    460) Area:1 Z=48  CD-106    bl:46    ln:99   
    461) Area:1 Z=48  CD-107    bl:1     ln:1    
    462) Area:1 Z=48  CD-108    bl:26    ln:49   
    463) Area:1 Z=48  CD-109    bl:4     ln:8    
    464) Area:1 Z=48  CD-110    bl:76    ln:173  
    465) Area:1 Z=48  CD-111    bl:99    ln:223  
    466) Area:1 Z=48  CD-112    bl:79    ln:177  
    467) Area:1 Z=48  CD-113    bl:99    ln:191  
    468) Area:1 Z=48  CD-114    bl:106   ln:243  
    469) Area:1 Z=48  CD-115    bl:5     ln:8    
    470) Area:1 Z=48  CD-115-M1 bl:1     ln:1    
    471) Area:1 Z=48  CD-116    bl:70    ln:159  
    472) Area:1 Z=48  CD-120    bl:1     ln:2    
    473) Area:1 Z=48  CD-121    bl:1     ln:2    
